Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Nicole,2021-06-08 02:42:00,00:00:08,Autoplayed: user action: None; ,The African Doctor_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,BR (Brazil)
Nicole,2021-06-08 02:41:53,00:00:05,Autoplayed: user action: None; ,Teaser: Eu Sou Todas as Meninas,TEASER_TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,BR (Brazil)
Nicole,2021-06-08 02:40:27,00:00:05,Autoplayed: user action: None; ,Trailer: Na Mesma Onda,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,BR (Brazil)
Nicole,2021-06-08 02:01:32,00:38:18,,Slam - Tutto per una ragazza,,Netflix Chrome MAC (Cadmium) HTML 5,01:36:08,01:36:08,BR (Brazil)
Nicole,2021-06-08 02:01:22,00:00:04,Autoplayed: user action: None; ,Season 2 Direct Lift Hook 2: Feel Good,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,BR (Brazil)
Nicole,2021-06-07 02:23:04,00:00:12,Autoplayed: user action: None; ,365 Days_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:12,00:00:12,BR (Brazil)
Nicole,2021-06-07 02:22:47,00:00:08,Autoplayed: user action: None; ,365 Days_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,Not latest view,BR (Brazil)
Nicole,2021-06-07 02:22:32,00:00:05,Autoplayed: user action: None; ,O Homem sem Gravidade (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,BR (Brazil)
Nicole,2021-06-07 02:21:49,00:00:21,Autoplayed: user action: None; ,O Último Paraíso (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:21,00:00:21,BR (Brazil)
Nicole,2021-06-07 02:21:21,00:00:23,Autoplayed: user action: None; ,Trailer: Na Mesma Onda,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:23,Not latest view,BR (Brazil)
Nicole,2021-06-07 02:19:11,00:00:57,Autoplayed: user action: None; ,Gli Infedeli_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:57,00:00:57,BR (Brazil)
Nicole,2021-06-07 02:14:01,00:00:07,Autoplayed: user action: None; ,Tidelands: Season 1 (Hook 6),HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,BR (Brazil)
Nicole,2021-06-07 02:13:46,00:00:04,Autoplayed: user action: None; ,Trailer: Tudo por Ela,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,BR (Brazil)
Nicole,2021-06-07 02:12:12,00:00:10,Autoplayed: user action: None; ,Temporada 1 (Trailer 3): Valéria,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:10,00:00:10,BR (Brazil)
Nicole,2021-06-07 02:11:31,00:00:04,Autoplayed: user action: None; ,Temporada 1 (Trailer 3): Valéria,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,Not latest view,BR (Brazil)
Nicole,2021-06-07 02:11:10,00:00:04,Autoplayed: user action: None; ,Temporada 1 (Teaser): Sweet Tooth,TEASER_TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,BR (Brazil)
Nicole,2021-06-07 02:10:29,00:00:09,,Na Mesma Onda,,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,BR (Brazil)
Nicole,2021-06-07 01:53:20,00:16:24,,Slam - Tutto per una ragazza,,Netflix Chrome MAC (Cadmium) HTML 5,00:57:50,Not latest view,BR (Brazil)
Nicole,2021-06-07 00:24:39,00:41:26,,Slam - Tutto per una ragazza,,Netflix Chrome MAC (Cadmium) HTML 5,00:41:26,Not latest view,BR (Brazil)
Nicole,2021-06-07 00:24:00,00:00:15,Autoplayed: user action: None; ,O Sol de Riccione (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:15,00:00:15,BR (Brazil)
Nicole,2021-06-07 00:22:22,00:00:05,Autoplayed: user action: None; ,The Boy Next Door_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,BR (Brazil)
Nicole,2021-06-07 00:21:20,00:00:12,Autoplayed: user action: None; ,Deadly Illusions_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:12,00:00:12,BR (Brazil)
Nicole,2021-06-07 00:20:36,00:00:06,Autoplayed: user action: None; ,GINNYANDGEORGIA_S1_CLIP_GENRE,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,BR (Brazil)
Nicole,2021-06-06 18:35:59,00:00:33,Autoplayed: user action: None; ,Season 2 Direct Lift Hook 2: Feel Good,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,Not latest view,BR (Brazil)
Nicole,2021-06-06 17:59:34,00:36:22,,Três Metros Acima do Céu: Temporada 2: Episódio 8 (Episódio 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:36:28,00:36:28,BR (Brazil)
Nicole,2021-06-06 17:02:16,00:41:35,,Três Metros Acima do Céu: Temporada 2: Episódio 7 (Episódio 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:41,00:41:41,BR (Brazil)
Nicole,2021-06-06 16:22:28,00:39:47,,Três Metros Acima do Céu: Temporada 2: Episódio 6 (Episódio 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:39:53,00:39:53,BR (Brazil)
Nicole,2021-06-06 16:19:28,00:02:57,,Três Metros Acima do Céu: Temporada 2: Episódio 5 (Episódio 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:39:49,00:39:49,BR (Brazil)
Nicole,2021-06-06 01:50:54,00:36:46,,Três Metros Acima do Céu: Temporada 2: Episódio 5 (Episódio 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:36:52,Not latest view,BR (Brazil)
Nicole,2021-06-06 01:05:39,00:44:14,,Três Metros Acima do Céu: Temporada 2: Episódio 4 (Episódio 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:20,00:44:20,BR (Brazil)
Nicole,2021-06-06 00:20:19,00:43:24,,Três Metros Acima do Céu: Temporada 2: Episódio 3 (Episódio 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:43:30,00:43:30,BR (Brazil)
Nicole,2021-06-05 23:12:33,00:38:05,,Três Metros Acima do Céu: Temporada 2: Episódio 2 (Episódio 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:07,00:44:07,BR (Brazil)
Nicole,2021-06-05 17:44:16,00:05:55,,Três Metros Acima do Céu: Temporada 2: Episódio 2 (Episódio 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:06:02,Not latest view,BR (Brazil)
Nicole,2021-06-05 16:00:20,00:40:21,,Três Metros Acima do Céu: Temporada 2: Episódio 1 (Episódio 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:21,00:40:21,BR (Brazil)
Nicole,2021-06-05 15:57:27,00:02:51,,Temporada 1 (Resumo): Três Metros Acima do Céu,RECAP,Netflix Chrome MAC (Cadmium) HTML 5,00:02:51,00:02:51,BR (Brazil)
Nicole,2021-06-05 02:56:27,00:00:06,Autoplayed: user action: None; ,Temporada 1 (Clipe 2): Sweet Tooth,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,BR (Brazil)
Nicole,2021-06-05 02:15:59,00:40:25,,The Bold Type: Temporada 4: O futuro da Scarlet (Episódio 16),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:29,00:41:29,BR (Brazil)
Nicole,2021-06-05 01:33:29,00:40:43,,The Bold Type: Temporada 4: Amor (Episódio 15),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:32,00:41:32,BR (Brazil)
Nicole,2021-06-05 00:52:45,00:40:11,,The Bold Type: Temporada 4: A verdade liberta (Episódio 14),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:50,00:40:50,BR (Brazil)
Nicole,2021-06-04 13:21:35,00:00:04,Autoplayed: user action: None; ,Temporada 1 (Clipe 2): Sweet Tooth,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,Not latest view,BR (Brazil)
Nicole,2021-06-04 02:46:03,00:39:57,,The Bold Type: Temporada 4: Perdas (Episódio 13),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:40,00:40:40,BR (Brazil)
Nicole,2021-06-04 02:05:59,00:40:03,,The Bold Type: Temporada 4: Neve (Episódio 12),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:48,00:40:48,BR (Brazil)
Nicole,2021-06-04 01:25:10,00:40:47,,The Bold Type: Temporada 4: Subindo de nível (Episódio 11),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:31,00:41:31,BR (Brazil)
Nicole,2021-06-04 01:24:58,00:00:07,Autoplayed: user action: None; ,Temporada 2 (Trailer): Três Metros Acima do Céu,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,BR (Brazil)
Nicole,2021-06-03 01:52:09,00:00:01,Autoplayed: user action: None; ,The Bold Type: Temporada 4: Subindo de nível (Episódio 11),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:59,Not latest view,BR (Brazil)
Nicole,2021-06-03 01:11:43,00:40:22,,The Bold Type: Temporada 4: Dia especial (Episódio 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:09,00:41:09,BR (Brazil)
Nicole,2021-06-03 00:08:23,00:40:41,,"The Bold Type: Temporada 4: Cinco, seis, sete, oito (Episódio 9)",,Netflix Chrome MAC (Cadmium) HTML 5,00:41:36,00:41:36,BR (Brazil)
Nicole,2021-06-02 22:52:16,00:40:55,,The Bold Type: Temporada 4: Astros (Episódio 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:27,00:41:27,BR (Brazil)
Nicole,2021-06-02 22:19:54,00:32:21,,The Bold Type: Temporada 4: O espaço do meio (Episódio 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:57,00:40:57,BR (Brazil)
Nicole,2021-06-02 22:18:59,00:00:48,Autoplayed: user action: None; ,Trailer: Carnaval,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:48,00:00:48,BR (Brazil)
Nicole,2021-06-02 02:59:48,00:07:45,,The Bold Type: Temporada 4: O espaço do meio (Episódio 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:08:36,Not latest view,BR (Brazil)
Nicole,2021-06-02 02:10:33,00:40:27,,The Bold Type: Temporada 4: Penetrar ou não... (Episódio 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:14,00:41:14,BR (Brazil)
Nicole,2021-06-02 01:58:34,00:11:24,,The Bold Type: Temporada 4: Luta de donuts (Episódio 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:15,00:41:15,BR (Brazil)
Nicole,2021-06-01 17:19:29,00:29:12,,The Bold Type: Temporada 4: Luta de donuts (Episódio 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:29:51,Not latest view,BR (Brazil)
Nicole,2021-06-01 16:58:42,00:18:32,,The Bold Type: Temporada 4: Clube de sexo e brinquedos (Episódio 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:01,00:41:01,BR (Brazil)
Nicole,2021-06-01 16:58:33,00:00:04,Autoplayed: user action: None; ,StartUp: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,BR (Brazil)
Nicole,2021-06-01 12:32:05,00:00:11,Autoplayed: user action: None; ,StartUp: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,Not latest view,BR (Brazil)
Nicole,2021-06-01 01:34:35,00:21:31,,The Bold Type: Temporada 4: Clube de sexo e brinquedos (Episódio 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:22:29,Not latest view,BR (Brazil)
Nicole,2021-05-31 16:33:50,00:00:02,,The Bold Type: Temporada 4: Clube de sexo e brinquedos (Episódio 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:58,Not latest view,BR (Brazil)
Nicole,2021-05-31 15:43:39,00:40:50,,The Bold Type: Temporada 4: Maratona (Episódio 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:36,00:41:36,BR (Brazil)
Nicole,2021-05-31 15:32:22,00:11:16,,The Bold Type: Temporada 4: #Scarlet (Episódio 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:34,00:41:34,BR (Brazil)
Nicole,2021-05-31 01:42:05,00:29:48,,The Bold Type: Temporada 4: #Scarlet (Episódio 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:30:18,Not latest view,BR (Brazil)
Nicole,2021-05-31 01:13:52,00:27:40,,The Bold Type: Temporada 4: Lendas da edição de outono (Episódio 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:48,00:40:48,BR (Brazil)
Nicole,2021-05-30 03:23:33,00:11:53,,The Bold Type: Temporada 4: Lendas da edição de outono (Episódio 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:13:08,Not latest view,BR (Brazil)
Nicole,2021-05-30 02:42:46,00:40:46,,The Bold Type: Temporada 3: Romper o ruído (Episódio 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:36,00:41:36,BR (Brazil)
Nicole,2021-05-30 02:02:55,00:39:50,,The Bold Type: Temporada 3: Ataque final (Episódio 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:47,00:40:47,BR (Brazil)
Nicole,2021-05-30 01:29:28,00:00:36,,The Bold Type: Temporada 3: Ataque final (Episódio 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:56,Not latest view,BR (Brazil)
Nicole,2021-05-30 01:29:17,00:00:06,Autoplayed: user action: None; ,Temporada 2 (Teaser): Ragnarok,TEASER_TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,BR (Brazil)
Nicole,2021-05-29 02:02:31,00:40:31,,The Bold Type: Temporada 3: Volta (Episódio 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:14,00:41:14,BR (Brazil)
Nicole,2021-05-29 01:40:43,00:21:47,,The Bold Type: Temporada 3: Mensagens confusas (Episódio 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:36,00:41:36,BR (Brazil)
Nicole,2021-05-29 00:31:31,00:19:14,,The Bold Type: Temporada 3: Mensagens confusas (Episódio 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:19:49,Not latest view,BR (Brazil)
Nicole,2021-05-28 17:11:52,00:00:04,Autoplayed: user action: None; ,Temporada 3 (Trailer): O Método Kominsky,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,BR (Brazil)
Nicole,2021-05-28 16:28:44,00:40:16,,The Bold Type: Temporada 3: #tbt (Episódio 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:43,00:40:43,BR (Brazil)
Nicole,2021-05-28 12:59:48,00:00:51,Autoplayed: user action: None; ,The Bold Type: Season 1_hook_02_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:51,00:00:51,BR (Brazil)
Nicole,2021-05-28 01:04:44,00:40:43,,The Bold Type: Temporada 3: Dificuldades técnicas (Episódio 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:29,00:41:29,BR (Brazil)
Nicole,2021-05-28 00:23:24,00:40:29,,The Bold Type: Temporada 3: A situação mais difícil (Episódio 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:03,00:41:03,BR (Brazil)
Nicole,2021-05-28 00:05:38,00:17:45,,The Bold Type: Temporada 3: Genial (Episódio 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:38,00:41:38,BR (Brazil)
Nicole,2021-05-28 00:05:27,00:00:04,Autoplayed: user action: None; ,Trailer: Milagre Azul,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,BR (Brazil)
Nicole,2021-05-27 01:39:22,00:23:22,Autoplayed: user action: None; ,The Bold Type: Temporada 3: Genial (Episódio 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:23:53,Not latest view,BR (Brazil)
Nicole,2021-05-27 01:17:25,00:21:44,,The Bold Type: Temporada 3: Puxar mais (Episódio 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:30,00:41:30,BR (Brazil)
Nicole,2021-05-27 01:17:14,00:00:05,Autoplayed: user action: None; ,Temporada 1 Trailer 1: O Método Kominsky,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,BR (Brazil)
Nicole,2021-05-26 02:14:33,00:19:46,Autoplayed: user action: None; ,The Bold Type: Temporada 3: Puxar mais (Episódio 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:19:46,Not latest view,BR (Brazil)
Nicole,2021-05-26 01:33:23,00:41:09,,The Bold Type: Temporada 3: Novo normal (Episódio 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:40,00:41:40,BR (Brazil)
Nicole,2021-05-25 12:12:40,00:00:04,Autoplayed: user action: None; ,Temporada 1 (Trailer): Hollywood,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,BR (Brazil)
Nicole,2021-05-25 02:09:58,00:41:01,,The Bold Type: Temporada 2: Sempre teremos Paris (Episódio 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:36,00:41:36,BR (Brazil)
Nicole,2021-05-25 01:42:49,00:26:05,,The Bold Type: Temporada 2: Viagem (Episódio 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:37,00:41:37,BR (Brazil)
Nicole,2021-05-24 12:41:49,00:00:22,Autoplayed: user action: None; ,The Bold Type: Season 1_hook_02_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:22,Not latest view,BR (Brazil)
Nicole,2021-05-24 00:41:38,00:15:19,,The Bold Type: Temporada 2: Viagem (Episódio 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:15:47,Not latest view,BR (Brazil)
Nicole,2021-05-23 23:40:23,00:40:19,,The Bold Type: Temporada 2: Plano B (Episódio 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:49,00:40:49,BR (Brazil)
Nicole,2021-05-23 22:59:07,00:40:46,,The Bold Type: Temporada 2: Betsy (Episódio 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:21,00:41:21,BR (Brazil)
Nicole,2021-05-23 22:58:51,00:00:08,Autoplayed: user action: None; ,The Bold Type: Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,BR (Brazil)
Nicole,2021-05-23 18:51:06,00:00:04,,The Bold Type: Temporada 2: Betsy (Episódio 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:35,Not latest view,BR (Brazil)
Nicole,2021-05-23 18:10:17,00:40:48,,The Bold Type: Temporada 2: O efeito dominó (Episódio 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:28,00:41:28,BR (Brazil)
Nicole,2021-05-23 17:29:50,00:40:26,,The Bold Type: Temporada 2: Passadas de orgulho (Episódio 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:12,00:41:12,BR (Brazil)
